track_num,track_id,track_name,first_artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,liked
41,4UKLxwpHwszcIC3gQpkD1i,Drops,Jungle,0.853,0.703,173627,0.237,0.623,5,0.0924,-14.281,1,0.0547,107.992,4,0.179,1
42,0xRrj1XYeBDCOPk2PjpEgj,Home,breathe.,0.435,0.447,213108,0.698,0.0225,9,0.11,-7.164,0,0.078,78.053,4,0.392,1
43,2NMyineNKTsqONSTTPkorG,Lucky I Got What I Want,Jungle,0.235,0.537,256805,0.565,0.885,5,0.108,-13.773,1,0.036,186.047,4,0.0969,1
44,46igfwCk41taYx0wH37SJQ,The King’s Affirmation,Iniko,0.453,0.67,159344,0.466,0.0094,1,0.166,-11.937,0,0.0383,121.939,4,0.431,1
45,2XlHu0HcujBCkWMdIAvrqt,Blem,Drake,0.0533,0.726,216558,0.535,1.38e-05,7,0.0984,-7.804,0,0.0476,98.067,4,0.375,1
46,5pK2Elt8xOENwe8xAGfASw,Beyond Control,NTO,0.00122,0.669,332147,0.619,0.817,8,0.0677,-9.02,0,0.0376,124.994,4,0.432,1
47,1qMMYpVatbRITKCfq1gasi,PUFFIN ON ZOOTIEZ,Future,0.0603,0.883,172933,0.657,0,8,0.128,-5.748,1,0.305,124.992,4,0.284,1
48,5f4qquwjZzEXIdua2FId7b,Demons - Massane Remix,Jerro,0.487,0.66,243177,0.497,0.0358,2,0.0884,-9.892,0,0.0327,121.959,4,0.131,1
49,7zvfDihYiJ8RQ1nRcpKBF5,Mr. Morale,Kendrick Lamar,0.283,0.727,210841,0.53,2.76e-05,9,0.392,-8.616,1,0.312,174.025,3,0.258,1
50,0UaHOCvFu9vN3dJcVJoPgg,Pon Mi,Shenseea,0.445,0.861,139684,0.701,0,2,0.218,-4.911,0,0.0606,123.995,5,0.846,1
51,6zrZ7mVcznNd2Q6qB0iBrq,Can't Anymore,Shenseea,0.209,0.771,155308,0.724,3.51e-06,9,0.281,-5.372,0,0.0422,102.991,4,0.77,1
52,68Hl1nI7Ico8cgwkBtA9Fg,COOL AS THE BREEZE/FRIDAY,Chronixx,0.37,0.475,213222,0.815,0,2,0.107,-4.698,1,0.301,103.987,4,0.479,1
53,6hsUG9qBhhramOYCkN60dA,Out Deh,Chronixx,0.12,0.66,262836,0.651,0,5,0.304,-6.845,0,0.27,152.049,4,0.763,1
54,0ANCAmMOEfmhQ0daOMNXn7,Jamming Version,Bob Marley & The Wailers,0.000377,0.835,186213,0.48,0.853,11,0.0737,-13.583,0,0.0879,123.498,4,0.7,1
55,34zWZOSpU2V1ab0PiZCcv4,Uptown Top Ranking - Remastered 2001,Althea And Donna,0.0477,0.886,229160,0.522,0.00108,7,0.207,-7.971,1,0.173,82.439,4,0.79,1
56,0qeKzbUsW0V4ZWRJrHNiD3,Bad Boys (Theme from COPS),Inner Circle,0.236,0.781,229375,0.722,0.000398,7,0.077,-8.376,1,0.0667,87.858,4,0.533,1
57,22AbXxQbMdVqEz7xJjhccG,Welcome To Jamrock,Damian Marley,0.0208,0.836,213200,0.661,0,7,0.449,-6.502,0,0.338,76.71,4,0.753,1
58,5LOiuvbH62YGtnwe6Ltt4T,Mirror,Kendrick Lamar,0.225,0.652,256008,0.67,1.4e-05,2,0.0804,-8.766,1,0.0639,91.933,4,0.274,1
59,19Fg3WrTfo35Ji3PtfZE6J,Auntie Diaries,Kendrick Lamar,0.745,0.52,281070,0.375,0.0122,0,0.429,-13.409,1,0.358,127.544,5,0.589,1
60,0YeUVm23SAkUruwEx9LWnt,Savior,Kendrick Lamar,0.495,0.605,224466,0.692,0,8,0.303,-7.45,1,0.446,124.84,5,0.685,1
61,3tYTyAt1q6BFBiGyYVOLhi,Silent Hill,Kendrick Lamar,0.438,0.907,220779,0.577,3.19e-05,1,0.137,-6.737,0,0.0767,140.07,4,0.801,1
62,2IwbW2jd0Ncv99Aroe77Ru,Crown,Kendrick Lamar,0.801,0.355,264299,0.245,9.11e-05,1,0.112,-13.475,0,0.0358,173.329,4,0.162,1
63,7pj6P5WnxkZsw3XRc8eMe1,Count Me Out,Kendrick Lamar,0.671,0.776,283642,0.431,0,4,0.153,-7.544,0,0.091,133.999,4,0.495,1
64,0RAvy97QRPzO2AfK5Dw6j3,We Cry Together,Kendrick Lamar,0.292,0.648,341307,0.68,0,11,0.0808,-7.276,1,0.345,106.89,3,0.504,1
65,401160izncPtca3CmX3dvM,Purple Hearts,Kendrick Lamar,0.167,0.567,329295,0.824,2.65e-06,3,0.149,-6.973,0,0.296,138.202,4,0.737,1
66,6kYGOFNUMxpab09L5Ukoke,Rich Spirit,Kendrick Lamar,0.428,0.852,202285,0.421,2.28e-06,10,0.106,-9.153,0,0.208,95.977,4,0.457,1
67,4xIhSUJantE6BMl3u8dtCJ,Father Time (feat. Sampha),Kendrick Lamar,0.181,0.514,222497,0.779,0,10,0.099,-4.365,0,0.344,152.869,4,0.517,1
68,6gI9b2VsoWhjhIuIeToDVs,Die Hard,Kendrick Lamar,0.319,0.775,239027,0.736,0.00116,1,0.127,-8.072,0,0.247,100.988,4,0.362,1
69,05zd5Nv0e02ZqrlC8A2cwx,United In Grief,Kendrick Lamar,0.244,0.529,255378,0.845,0,8,0.143,-8.142,1,0.404,85.63,3,0.331,1
70,2FeBslNBMdR9V58uv6hd2t,N95,Kendrick Lamar,0.377,0.79,195950,0.67,2.32e-06,1,0.119,-5.527,1,0.105,139.956,4,0.408,1
71,4v20N4W83XDJORt7WCedII,GLOWED UP,KAYTRANADA,0.036,0.678,298027,0.62,0.00557,1,0.138,-10.024,1,0.321,135.553,4,0.433,1
72,6kmXHLDDK7RQXTjHooTCzH,Iced Tea,Joyce Wrice,0.0662,0.731,205385,0.622,0.000153,11,0.0558,-7.704,1,0.0823,103.949,4,0.501,1
73,5MMW4CZsZiZt2iuqAXzzWC,The Heart Part 5,Kendrick Lamar,0.183,0.7,332229,0.812,0,1,0.0756,-8.128,0,0.297,97.405,4,0.801,1
74,06vjDikmHQBKKaNtlPrrB3,One Evening,Feist,0.127,0.955,216507,0.38,0.000225,0,0.0946,-9.779,0,0.036,112.151,4,0.658,1
75,7dsImih2L25fa6qjNphBI7,Turn off the Lights,Chris Lake,0.0467,0.824,210547,0.745,3.29e-05,11,0.198,-5.49,0,0.0755,125.013,4,0.888,1
76,5JeBHduTGxXxytZFXBcIlB,Turn off the Lights - Cages Remix,Chris Lake,0.00324,0.653,208858,0.839,0.00294,11,0.476,-6.677,0,0.0581,125.004,4,0.334,1
77,6gxLEbRJlorva6uVRW4gof,PAPARAZZI,UZI,0.464,0.854,164000,0.796,1.21e-06,9,0.0684,-5.871,0,0.216,109.995,4,0.382,1
78,0uKrhHBDUQ4w5fv4qwOubP,Breathe,Télépopmusik,0.385,0.684,282240,0.684,0.29,1,0.106,-13.337,1,0.0418,113.988,4,0.616,1
79,3xtrM3vQ6UsLQcI3edvtv4,Yours,ZHU,0.294,0.686,257734,0.699,0.557,4,0.076,-6.084,0,0.0481,122.951,4,0.0937,1
80,4egICwEusGUJsGEaTwGscm,Chaque Fois,Stavroz,0.0516,0.927,450232,0.498,0.487,0,0.323,-13.736,1,0.308,118.998,4,0.479,1
81,3qJ5msQzrqPsk7vMlA9bu4,Kasambila,Stavroz,0.0011,0.74,527675,0.715,0.88,6,0.0932,-9.483,0,0.0463,117.001,4,0.517,1
82,56pyze6xEqW3imxB7rsnqP,To Be in Mara,Stavroz,0.00212,0.869,445252,0.636,0.837,7,0.0996,-9.651,1,0.045,117.029,4,0.481,1
83,335GzS0E9yNFjLgXTqJSU7,Wintergreen,Stavroz,0.288,0.542,251085,0.526,0.899,4,0.122,-11.694,0,0.0797,96.19,4,0.104,1
84,0tGWcbplNiSkw8RxhMPuMJ,Merci Éclair,Stavroz,0.191,0.739,325761,0.407,0.848,1,0.103,-11.736,1,0.151,95.082,4,0.108,1
85,1sRCdHD8jdRyQ3tOCiBdQh,Time,Jungle,0.191,0.693,213614,0.694,0.000905,5,0.489,-8.435,1,0.0453,120.015,4,0.554,1
86,0gOA1SWEZhRECJRguyxFFZ,Truth,Jungle,0.0272,0.604,171240,0.76,0.0283,7,0.129,-5.702,1,0.0307,154.966,4,0.777,1
87,2iniubWKW3QpnEnEDVIvGw,Time,Jungle,0.191,0.693,213614,0.694,0.000905,5,0.489,-8.435,1,0.0453,120.015,4,0.554,1
88,3BHxg5xwE1WllM1IHJNCEb,Smile,Jungle,0.243,0.648,187148,0.863,0.805,8,0.103,-8.202,1,0.0873,110.026,4,0.582,1
89,5jRM7d5Gyr6qhlJ13rJPOn,The Heart Part 5,Kendrick Lamar,0.19,0.613,332229,0.799,0,6,0.0735,-8.126,0,0.323,96.211,4,0.83,1
90,71hX3p3RYgvx5rybyCmyrc,House In LA,Jungle,0.364,0.454,283823,0.471,0.00527,10,0.662,-9.079,0,0.0303,116.914,4,0.0743,1
91,65jIfhKXmvLWblufjFzGmI,Lifting You,Jungle,0.447,0.674,166587,0.671,0.00463,2,0.199,-8.352,0,0.0354,107.025,4,0.547,1
92,34wcz4mpAActEc6gtqX3wz,"Heavy, California",Jungle,0.0733,0.674,184600,0.713,0.139,6,0.169,-7.46,0,0.0359,111.017,4,0.71,1
93,7BqmRtygVUDE9VSuZW0MEY,Keep Moving - Gaspard Augé and Victor Le Masne Remix,Jungle,0.372,0.741,211128,0.794,0.225,1,0.0908,-8.119,1,0.0328,111.515,4,0.852,1
94,2t9bMYh6ZJGfAZPKJGnby0,Romeo (feat. Bas),Jungle,0.246,0.752,166200,0.636,0,3,0.36,-6.535,0,0.0852,95.014,4,0.733,1
95,7f7CxGj0kzfwT1SjciL3ft,Busy Earnin',Jungle,0.209,0.552,181773,0.883,4.91e-06,10,0.0912,-5.61,0,0.0355,99.967,4,0.745,1
96,5Ev60QcFefqlvVfF7ZWOdi,All Of The Time,Jungle,0.0366,0.695,182040,0.876,0.0896,5,0.954,-5.994,0,0.042,130.037,4,0.863,1
97,6mfQHV1tPWUpme1qi9vYpI,Keep Moving,Jungle,0.183,0.724,240880,0.603,0.000469,10,0.0948,-6.261,0,0.0317,111.493,4,0.569,1
98,44ZKnfWEkp7wPs035j4Tua,Casio,Jungle,0.431,0.816,234370,0.492,0.0896,10,0.0995,-7.464,0,0.0752,115.989,4,0.765,1
99,3UxSBIbSYq4mOquIolTreo,Trap Sax,Nish,0.75,0.876,155089,0.422,0.84,7,0.102,-8.237,0,0.173,124.971,4,0.459,1
100,3XfaSRXfGuWT1rrn9lWx30,Kathy's Waltz,The Dave Brubeck Quartet,0.88,0.484,287840,0.151,0.178,0,0.115,-18.622,0,0.0378,94.587,4,0.399,1
101,6zSpb8dQRaw0M1dK8PBwQz,Cold Heart - PNAU Remix,Elton John,0.034,0.796,202735,0.798,4.19e-05,1,0.0952,-6.312,1,0.0317,116.032,4,0.942,1
102,1wMkfavYDIX8z0S5fM2Gmg,D.M.B.,A$AP Rocky,0.523,0.672,291612,0.585,0.000173,8,0.51,-8.646,1,0.394,139.984,4,0.394,1
103,59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),Future,0.314,0.463,189893,0.642,0,1,0.0686,-4.474,1,0.34,83.389,4,0.339,1
104,0hZIaQMGqu41dozEwqVa1b,Satisfaction,SiR,0.66,0.685,130982,0.577,2.69e-06,7,0.109,-4.655,0,0.108,110.326,4,0.371,1
105,7l5PV5CLNe9eCIcz8C5bLW,Movies,Alfie Templeman,0.235,0.848,197638,0.712,0.0199,10,0.116,-6.664,0,0.0653,129.941,4,0.79,1
106,36N6SXPDAzTSlvmz1TYrTk,Ember - Radio Edit,WhoMadeWho,0.0747,0.696,205385,0.585,0.315,9,0.266,-8.489,0,0.029,104.004,4,0.411,1
107,1zuPrkzdagicHTMC78LejJ,Arrow Root,MF DOOM,0.18,0.695,130800,0.402,0.933,6,0.354,-9.456,1,0.0624,185.215,4,0.945,1
108,0TUK4LKkHVHdsLwscQckX6,Understood,Mick Jenkins,0.213,0.677,208571,0.843,7.02e-06,9,0.554,-5.354,1,0.324,84.993,4,0.734,1
109,7lT1dCz96jANsLAAADlfIg,Doomsday,MF DOOM,0.0977,0.856,298053,0.841,0,6,0.0773,-7.737,0,0.335,95.418,4,0.794,1
110,6GVrDwaAuGOida6c7eYjLl,Don't Forget It,Dabeull,0.0701,0.838,222171,0.69,0.0222,9,0.033,-9.379,0,0.14,77.936,4,0.776,1
111,3c1RaJgNdwLHLPBYTVE1wb,2000 chevy malibu,Channel Tres,0.126,0.614,162149,0.526,0.0913,1,0.103,-8.598,0,0.219,146.091,4,0.518,1
112,5UEZzRsrB4FKw1SIMoMD2y,The Sun,Myd,0.752,0.773,207373,0.586,0.762,5,0.0941,-7.623,0,0.0311,126.014,4,0.729,1
113,6KflfPD0qIbbB1PQyAHla5,Topdown,Channel Tres,0.0259,0.828,230013,0.54,0.179,1,0.145,-8.54,1,0.0933,120.048,4,0.485,1
114,1ulOY8x4c6kwZ808comKSg,Smells Like Teen Spirit,Howling,0.115,0.661,539606,0.337,0.1,1,0.0787,-11.423,1,0.0352,125.02,4,0.0984,1
115,46OIVHWlExMXlqYRCpkEYd,UUUU,WhoMadeWho,0.00992,0.679,389801,0.915,0.795,0,0.0925,-10.554,1,0.0458,124.005,4,0.106,1
116,1vMGIZbIkpaLSagdF2ygcV,Music Sounds Better with You,NEIL FRANCES,0.274,0.927,198305,0.525,0.238,8,0.0672,-8.256,0,0.0667,118.023,4,0.778,1
117,4OeAOXT5DNRUJPO6phiA0d,Breakfast In America - 2010 Remastered,Supertramp,0.425,0.532,159347,0.663,1.07e-06,0,0.0734,-5.886,0,0.0292,75.14,4,0.756,1
118,6OiRh4kttAs1YWglvTcYkB,Alrighty Aphrodite,Peach Pit,0.00605,0.534,207813,0.724,0.0929,6,0.108,-4.675,0,0.0495,81.846,4,0.503,1
119,6rbbDK18oqK3MxHGQhpmn2,La lune,L'Impératrice,0.811,0.645,193629,0.498,0.529,7,0.101,-9.681,0,0.0376,111.963,4,0.331,1
120,0ZkSEVvP9SWIRdZUkZUghH,99,Hollie Cook,0.0655,0.823,383716,0.583,0.121,10,0.414,-9.204,0,0.0609,127.202,4,0.63,1
121,5ObMLQkrprMky3fuOCnFmW,Who Loves The Sun feat. Jo.Ke - Edit,Nu,0.118,0.988,256996,0.644,0.462,10,0.244,-10.245,0,0.072,120.003,4,0.499,1
122,3pr0y5h4MkBngy6gyozLDV,Voodoo?,L'Impératrice,0.0858,0.871,255747,0.379,0.141,6,0.0689,-10.751,0,0.0752,107.961,4,0.491,1
123,5M77yXWuKPqaUzdxn4cVnV,Concrete Jungle,Bob Marley & The Wailers,0.218,0.837,253960,0.666,5.33e-06,2,0.134,-7.187,1,0.132,96.083,4,0.78,1
124,2pZJhvpin385eqAFRp3ASJ,Sun Is Shining,Bob Marley & The Wailers,0.00531,0.785,298507,0.562,9.36e-05,10,0.0456,-7.784,0,0.0514,129.024,4,0.614,1
125,0INtJm8gCJKtNaAYQNVlpZ,"You Don't Love Me (No, No, No) - Extended Mix",Dawn Penn,0.0122,0.811,277893,0.428,0.317,7,0.344,-10.728,1,0.221,80.962,4,0.653,1
126,2HcyIzVsX45jLIxK7SH2aI,One Love / People Get Ready - Medley,Bob Marley & The Wailers,0.0783,0.725,172933,0.523,0,10,0.0665,-9.593,1,0.324,76.292,4,0.95,1
127,7G82RELqYiB0EZ8F61Ht8T,In Mindibu,Stavroz,0.36,0.752,308825,0.559,0.845,8,0.139,-14.46,1,0.0495,118.998,4,0.0604,1
128,1SAkL1mYNJlaqnBQxVZrRl,Baby Got Back,Sir Mix-A-Lot,0.0051,0.926,262827,0.669,0,1,0.0887,-11.271,1,0.301,128.462,4,0.642,1
129,4MA5ZAVcGUzomiE4uJSPUb,Eyes Alive,HVOB,0.539,0.597,365069,0.647,0.735,4,0.371,-10.04,0,0.032,120.994,4,0.039,1
130,13HDTxGLX75krczQM9xRKP,Return to Oz,Monolink,0.0699,0.791,432267,0.769,0.809,8,0.0603,-11.502,1,0.0504,119.98,4,0.22,1
131,1SShxVVBeZBCY7WddnksPz,Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Basement Boy Strip To The Bone Mix,Crystal Waters,0.000779,0.484,451827,0.641,0.278,5,0.0738,-12.612,1,0.0377,119.981,4,0.181,1
132,3EG9FJ0ToLfgnc1IG2Z1wz,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),"Tyler, The Creator",0.333,0.468,588139,0.652,0.000318,0,0.55,-4.912,1,0.0722,140.223,4,0.39,1
133,3jHdKaLCkuNEkWcLVmQPCX,BEST INTEREST,"Tyler, The Creator",0.0861,0.596,127921,0.575,0.000153,11,0.334,-8.325,0,0.0514,98.265,3,0.34,1
134,6f44p3Kc4ayD9VtbC9Clkr,"Come On, Let's Go (with Nigo)","Tyler, The Creator",0.136,0.732,199500,0.734,0.000901,11,0.165,-7.968,1,0.0974,145.722,4,0.488,1
135,3lOG7H9ZeJdyKdRH0ZInXv,No Devotion,TENDER,0.00224,0.716,207400,0.538,0.692,1,0.0847,-8.562,1,0.0452,119.98,4,0.113,1
136,7xEVy3xCkmRSbYavgefnsI,Can’t Decide,Aminé,0.0559,0.746,160237,0.658,0.00206,4,0.108,-7.023,0,0.0408,97.0,4,0.191,1
137,4FKuIlfFCIcvpg7M2HJhwx,You & I,Dabeull,0.0325,0.807,208899,0.66,0.0481,11,0.119,-6.266,0,0.0826,115.176,4,0.658,1
138,7cyeGclH71MayOuQ7qtLFl,BIG,Young M.A,0.0408,0.86,225920,0.507,6.15e-06,0,0.14,-5.776,0,0.369,85.005,4,0.15,1
139,6nqkL8zNLRCMNB4dDjt5hl,MAD (feat. Young M.A),YG,0.00694,0.874,178466,0.528,0,10,0.106,-8.004,0,0.285,85.994,4,0.509,1
140,2CMq2UImv0YssAzKb95YBH,I Feel Fantastic,Riovaz,0.194,0.771,146939,0.536,0.00919,11,0.153,-16.116,0,0.109,135.684,4,0.688,1
141,3rM7KGUECeqVtYPoELk7ct,Sinner - Edit,Monolink,0.0847,0.633,255574,0.745,0.0133,11,0.158,-9.276,0,0.0391,123.002,4,0.299,1
142,4P7mJtzehLCPAa5kk7Jb36,Sinner,Monolink,0.0675,0.667,463035,0.73,0.158,11,0.112,-10.26,0,0.0435,122.996,4,0.309,1
143,60tsXfCcG6Ljxsr8whOXL5,The Sound Of San Francisco - Progressive Album Mix,Global Deejays,0.000573,0.694,224200,0.823,0.00102,6,0.134,-5.739,0,0.048,132.337,4,0.501,1
144,4RADreHMvMkZwsPgPr9z5c,"Rhythm Is A Dancer - 7"" Edit",SNAP!,0.273,0.794,225882,0.745,0.000414,9,0.143,-11.367,0,0.037,124.249,4,0.706,1
145,0F2BxpbxH8Yc3pLub48hrb,Pjanoo - Radio Edit,Eric Prydz,0.000563,0.605,157432,0.874,0.812,7,0.112,-4.949,0,0.0295,125.99,4,0.836,1
146,7uDWgjxrb2M93oUdS97IPW,No Stress,Laurent Wolf,0.154,0.726,201453,0.793,1.53e-06,3,0.143,-3.052,0,0.0671,130.003,4,0.755,1
147,2RLpFEf6d0708O7Bqhjyxg,Days Go By,Dirty Vegas,0.0499,0.786,432147,0.853,0.0872,9,0.35,-8.274,0,0.0688,126.99,4,0.309,1
148,7kXmJwrZGIhDaLT9sNo3ut,Hey Boy Hey Girl,The Chemical Brothers,0.119,0.632,290493,0.92,0.508,2,0.114,-4.976,1,0.0531,127.001,4,0.363,1
149,0LTp1UeaPcN2LbbXAGjf6f,Show Me Love - Anevo Remix - Radio Edit,Steve Angello,0.0351,0.65,204767,0.882,0.00049,2,0.0456,-4.266,0,0.0554,126.084,4,0.267,1
150,6Qa4rZHsxvkBh0WPG89rtO,"White Horse - Nytron, M0B & Gustavo Peluzo Short Edit",Croatia Squad,0.00179,0.809,201698,0.81,0.396,4,0.23,-4.576,0,0.0703,123.033,4,0.834,1
151,5Dj18fcy0ugnnLUMNRpZzx,7th Element (HD),VITAS,0.0378,0.709,229875,0.676,0.0171,6,0.277,-6.54,1,0.0431,127.997,4,0.869,1
152,6J7ZSdEEYo3ns4gnHdwRL0,Seek Bromance - Avicii Vocal Edit,Tim Berg,0.0868,0.515,203960,0.837,0,11,0.0403,-2.552,1,0.0401,126.026,4,0.52,1
